family,age,sex,survived,death,full_name
Other,23,Male,0,1846-12-29T00:00:00Z,Antoine
Breen,13,Male,1,NA,"Breen, Edward"
Breen,1,Female,1,NA,"Breen, Margaret I."
Breen,5,Male,1,NA,"Breen, James"
Breen,14,Male,1,NA,"Breen, John"
Breen,40,Female,1,NA,"Breen, Mary"
Breen,51,Male,1,NA,"Breen, Patrick"
Breen,9,Male,1,NA,"Breen, Patrick Jr."
Breen,3,Male,1,NA,"Breen, Peter"
Breen,8,Male,1,NA,"Breen, Simon"
Other,30,Male,0,1846-12-27T00:00:00Z,"Burger, Charles"
Other,28,Male,0,1847-02-26T00:00:00Z,"Denton, John"
Other,40,Male,0,1846-12-27T00:00:00Z,"Dolan, Patrick"
Donner,13,Female,1,NA,"Donner, Elitha Cumi"
Donner,3,Female,1,NA,"Donner, Eliza Poor"
Donner,45,Female,0,1847-03-14T00:00:00Z,"Donner, Elizabeth"
Donner,6,Female,1,NA,"Donner, Francis E."
Donner,62,Male,0,1847-03-18T00:00:00Z,"Donner, George"
Donner,9,Male,1,NA,"Donner, George Jr."
Donner,4,Female,1,NA,"Donner, Georgia Ann"
Donner,5,Male,0,1847-03-06T00:00:00Z,"Donner, Isaac"
Donner,65,Male,0,1846-12-21T00:00:00Z,"Donner, Jacob"
Donner,11,Female,1,NA,"Donner, Leanna"
Donner,3,Male,0,1847-02-14T00:00:00Z,"Donner, Lewis"
Donner,7,Female,1,NA,"Donner, Mary"
Donner,4,Male,0,1846-12-21T00:00:00Z,"Donner, Samuel"
Donner,44,Female,0,1847-03-28T00:00:00Z,"Donner, Tamsen"
Eddy,25,Female,0,1847-02-07T00:00:00Z,"Eddy, Eleanor"
Eddy,3,Male,0,1847-03-13T00:00:00Z,"Eddy, James"
Eddy,1,Female,0,1847-02-04T00:00:00Z,"Eddy, Margaret"
Eddy,28,Male,1,NA,"Eddy, William"
Other,28,Male,0,1847-02-09T00:00:00Z,"Elliot, Milton"
FosdWolf,23,Male,0,1847-01-18T00:00:00Z,"Fosdick, Jay"
FosdWolf,22,Female,1,NA,"Fosdick, Sarah"
MurFosPik,23,Female,1,NA,"Foster, Sarah"
MurFosPik,28,Male,1,NA,"Foster, William"
MurFosPik,1,Male,0,1847-03-13T00:00:00Z,"Foster, Jeremiah"
Graves,15,Female,1,NA,"Graves, Eleanor"
Graves,1,Female,1,NA,"Graves, Elizabeth"
Graves,47,Female,0,1847-03-12T00:00:00Z,"Graves, Elizabeth C."
Graves,57,Male,0,1846-12-27T00:00:00Z,"Graves, Franklin W"
Graves,5,Male,0,1847-03-12T00:00:00Z,"Graves, Franklin W J"
Graves,7,Male,1,NA,"Graves, Jonathan"
Graves,12,Female,1,NA,"Graves, Lovina"
Graves,20,Female,1,NA,"Graves, Mary Ann"
Graves,9,Female,1,NA,"Graves, Nancy"
Graves,18,Male,1,NA,"Graves, William"
Other,25,Male,0,1846-08-25T00:00:00Z,"Halloran, Luke"
Other,60,Male,0,1846-10-10T00:00:00Z,"Hardkoop, Mr."
Other,25,Male,1,NA,"Herron, William"
Other,12,Male,0,1847-02-28T00:00:00Z,"Hook, William"
Other,14,Male,1,NA,"Hook, Solomon"
Other,20,Male,1,NA,"James, Noah"
